Date / Time	City	State	Shape	Duration	Summary	Posted
12/27/14 19:00	Colorado Springs	CO	Circle	2 minutes	Bright orange object moving across sky	1/07/2015
12/27/14 18:50	Thetford	VT	Triangle	5 minutes	3 orange lights in triangle formation flying south on I-91 between Thetford  and Hanover.	1/07/2015
12/27/14 18:37	Edmonds	WA	Cigar	1 minute	Bright blue cigar-shaped object that separated into two craft, one craft  flew right and disappeared.	1/07/2015
12/27/14 18:30	Phillipsburg	NJ	Light	A while	I couldn't find an email address, so I apologize for using a report form. I  witnessed people setting off Chinese lanterns in the Logan/	1/07/2015
12/27/14 18:00	Akron	OH	Circle	1-2 hours	Rotating light, making quick circles, being followed by a fainter light  made a continuous circle for around an hour or two.	1/07/2015
12/27/14 17:15	East Charleston	VT	Light	2 minutes	Traveling by truck on Rte 105 East from Derby to East Charleston. Observed  a bright orange light traveling slowly (est. 80-100mph)from	1/07/2015
12/27/14 16:55	Johnson City	TN	Unknown	1 minute	Green glow emerges from Buffalo Mountain.	1/07/2015
12/27/14 11:00	La Canada	CA	Sphere	5 minutes	Large sphere appears in photographs of flying Hawk near Jet Propulsion  Laboratory.	1/07/2015
12/27/14 05:30	Centerville	OH	Light	2 seconds	2 high intensity flashes of light in sky.	1/07/2015
12/27/14 05:05	Gresham	OR	Fireball	2-3 minutes	Two fiery objects holding in a close formation changed direction and  acceleration then one of them appeared to drop debris.	1/07/2015
12/27/14 05:00	Frederick	MD	Flash	1 second	Object not seen. Only fleeting light similar to shooting star only thicker  and closer.	1/07/2015
12/27/14 05:00	Galatia	IL	Diamond	3 minutes	Kite-shaped thing with blue/white light flew in front of suv hovered over  field to my right.	1/07/2015
12/27/14 03:15	Waddell	AZ	Circle	4 minutes	Big orange orb emited a smaller orange orb, then that split to 2, flew  different directions. Big one vanished.	1/07/2015
12/27/14	Philadelphia	PA	Unknown	10+ minutes	Just got this [5:16:36 PM]  https://www.youtube.com/watch?v=_g8YbADR1r8&feature=youtu.be UFO flotilla  over Philadelphia, PA, December 2	1/07/2015
12/26/14 22:00	Phoenix	AZ	Fireball	20 minutes	A row of red orbs flying across city of Phoenix from the far west valley to  the east valley.	1/07/2015
12/26/14 21:40	Villa Rica	GA	Cross		There were flying objects hovering over ATLANTA skies...not at all  airplanes . When they flew over us the headlights turned off!	1/07/2015
12/26/14 21:30	Reed Point	MT	Circle	1/2 +	EXTREMELY BRIGHT FLASHING LIGHTS OF RED, BLUE AND GREEN IN SE SKY. ((NUFORC  Note: Sirius?? PD))	1/07/2015
12/26/14 21:00	Mentor Headlands	OH	Triangle	45 minutes	Triangular pulsating light drops a flashing orb.	1/07/2015
12/26/14 20:45	Chelsea	AL	Triangle	5 minutes	8 stationary objects with red lights hovering in a semi-circle shape for  approx 5 mins in Chelsea, AL	1/07/2015
12/26/14 20:40	Anchorage	AK	Disk	10 seconds	Saucer hovering over military base forest off of Seward Highway in  Anchorage.	1/07/2015
12/26/14 20:30	Cobourg (Canada)	ON	Circle	~5 minutes	4 yellow/orange lights moving with seeming deliberate movement east of  Cobourg, Ontario.	1/07/2015
12/26/14 20:00	Leland	NC	Light	5 seconds	Very bright white light traveling at great speed and at a low altitude was  observed for approx. 5 seconds before I lost sight of it.	1/07/2015
12/26/14 19:15	Oswego	NY	Light	15 seconds	Steady, orange light, moving across the sky and flickering off.	1/07/2015
12/26/14 18:42	Lancaster	CA	Unknown		((HOAX)) Every shape size form there here in Lancaster, California.	1/07/2015
12/26/14 18:15	Los Angeles	CA	Fireball	5 minutes	Orange flame/fire ball disappears up into space.	1/07/2015
12/26/14 18:10	Ogden	UT	Chevron	5 seconds	An object that disrupted the star lit sky around it. Moved 3 miles in  approximately 5 seconds.	1/07/2015
12/26/14 18:00	Cambria	CA	Light	8 minutes	Bright, star like light that hovered over ocean for 3 min, dropping into  ocean with glow on horizon.	1/07/2015
12/26/14 17:00	Hempstead	NY	Cylinder	20 minutes	Cylindrical object seen over Long Island, N.Y..	1/07/2015
12/26/14 17:00	Palmdale	CA	Disk	1 minute	Transparent disc shape flying & caught reflection around the sun set. Full  on saw this looked away looked back it was flying.	1/07/2015
12/26/14 13:48	Las Vegas	NV	Oval	5 minutes	3 chrome objets.	1/16/15
12/26/14 06:27	Shillong (India)		Light	3 minutes	Bright light moving slowly and disappearing into forest, seen from  Meghalaya, India.	1/07/2015
12/26/14 05:00	Newton	MA	Light	5 minutes	Slow moving object, SE direction, definitely not a star, aircraft, or  satellite.	1/07/2015
12/26/14 00:15	Wayne	NJ	Unknown	5 minutes	Fast moving object changing color and making tight curved maneuvers/changes  of direction with near equal climb and dive speed	1/07/2015
12/26/14	Templeton	CA	Triangle	5 minutes	Buzzing triangle aircraft.	1/07/2015
12/25/14 23:45	Huntington	WV	Chevron	5 minutes	UFO Sighted over Spring Valley in Huntington, WV, on Christmas night.	1/07/2015
12/25/14 23:00	St. Pete Beach	FL	Oval	3 minutes	Bright ball of fire moving east over gulf of mexico. st pete beach. Its  real. I saw and recorded it.	1/07/2015
12/25/14 23:00	Orangburg	SC	Formation	5 minutes	I felt them making me aware of their presence.	1/07/2015
12/25/14 22:10	East Wenatchee	WA	Light	30 seconds	Two gold balls of light above Malaga as seen from East Wenatchee	1/07/2015
12/25/14 22:00	Cincinnati	OH	Fireball	3-5 minutes	Five dancing fireballs in the sky over Cincinnati on Christmas night.	1/07/2015
12/25/14 21:36	Los Angeles (Westlake Village)	CA	Unknown	3 - 6 seconds	Flash of light that leaves a trail - spotted over Los Angeles, California!	1/07/2015
12/25/14 21:30	Kent	WA	Fireball	~5 minutes	Reddish Orange Fireball like lights streaking across the sky barely about  the trees, without making any sound.	1/07/2015
12/25/14 21:30	Centereach/Bohemia	NY	Other	1 minute	I'M SURE OF WHAT I SAW.	1/07/2015
12/25/14 21:15	Davie	FL	Light	5 minutes	Orange glow - 'twinkling occasionally'	1/07/2015
12/25/14 21:01	Fairfield	CA	Other	180 seconds	Sighted a bright orange pyramid-shaped object descending through the  atmosphere, leveling off, and flying in a Southeasterly direction.	1/07/2015
12/25/14 20:45	Virginia Beach	VA	Fireball	3 minutes	At around 8:45 tonight 25 Dec 2014 I was standing on my back deck looking  at the moon in the western sky. When i saw what i thought we	1/07/2015
12/25/14 20:30	Hialeah	FL	Triangle	2 minutes +	WHO IS UP THERE?	1/07/2015
12/25/14 20:30	Dubuque	IA	Sphere	2 minutes	Green orb came into sight, stopped in the sky, and started blinking; then  took off.	1/07/2015
12/25/14 20:14	Baytown	TX	Other	3 minutes	Speechless…	1/07/2015
12/25/14 19:30	Coral Springs	FL	Formation	2 minutes	Leaving aunt's house for Christmas dinner look up in the sky know it is 3  orange balls in a formation 4 for 2 mins, approx.	1/07/2015
12/25/14 19:30	Satellite Beach	FL		5 minutes	Three bright orange objects in sky of east/southeast of Florida.	1/07/2015
12/25/14 19:10	Newberg	OR	Circle	5 minutes	Orange Orbs over Newberg, OR clouded sky	1/07/2015
12/25/14 18:45	Hillsboro	OR	Light	1 minute	4 or 5 red lights hovering in SW sky Hillsboro Oregon	1/07/2015
12/25/14 18:30	North Myrtle Beach	SC			Multiple witnesses have a neon-colored, glowing, ball fly around them.	1/09/2015
12/25/14 17:45	Coatbridge (UK/Scotland)		Light	5 minutes	At first I looked towards the sky at what I initially thought was a  helicopter. On closer inspection the object did not move.it was the	1/07/2015
12/25/14 17:20	Hollister	CA	Cigar	5 minutes	Long black, long tendrils at one end and a changing shape like the tail of  an aircraft at the other. No sound.	1/07/2015
12/25/14 16:25	Cedar Rapids	IA	Cylinder	4 minutes	White wingless silent cylinder moved at constant speed without contrail  along an apparent straight flight path.	1/07/2015
12/25/14 06:00	Rocky Poiint	NY	Circle	10:00	2 bright lights in the sky. They disappeared then reappeared.	1/07/2015
12/25/14 03:00	Seattle	WA		5 minutes	Strange sounds in north Seattle.	1/07/2015
12/25/14 00:00	Cabo San Lucas (Baja California)(Mexico)		Teardrop	25 minutes	Cabo San Lucas Christmas lights.	1/07/2015
12/25/14	East Grand Rapids	MI	Fireball	5 seconds	Green fireball with red trail headed toward horizon.	1/07/2015
12/25/14	Nashville	GA	Unknown	5 minutes	Orange lights traveling in a southeasterly direction. Object(s) didn't  blink, absolutely no sound either. Watched until it moved out of	1/07/2015
12/24/14 23:00	Vista	CA	Fireball	5 minutes	My family and I were driving home from a Christmas eve at my dads house ,  when my wife said look at that. to my utter amazement I saw 1	1/07/2015
12/24/14 23:00	Nipomo	CA	Diamond	0:00	Diamond shape appeared with a red streak then vanished no trace of the red  colored smoked after the other 2 were just floating.	1/07/2015
12/24/14 23:00	Vista	CA	Fireball	5 minutes	My family and I were driving home from a Christmas eve at my dads house ,  when my wife said look at that. to my utter amazement I saw 1	1/07/2015
12/24/14 22:44	Spring Hill	TN	Circle	3 minutes	3 hovering orange round objects slowly disappeared into the clouds, no  sounds coming from objects. Maybe drones?	1/07/2015
12/24/14 22:44	Spring Hill	TN	Circle	3 minutes	Three orange lights hovering over trees, then slowly follow each other off  into clouds; no sounds at all.	1/07/2015
12/24/14 22:30	San Antonio	TX	Circle	5 minutes	Two bright orange lights were moving straight across the sky with no engine  sound.	1/07/2015
12/24/14 22:00	Beaverton	OR	Cone	3	Illuminated objects hovering, and then disappeared in thin air, one by one.	1/07/2015
12/24/14 20:50	Irvine	CA	Fireball	10 minutes	About 8 fireballs over Irvine, CA.	1/07/2015
12/24/14 20:17	Lafayette	LA	Fireball	2 minutes	Twelve orange/red orbs glided across the sky of Lafayette, LA on Christmas  Eve	1/07/2015
12/24/14 19:20	Pasadena	MD	Formation	10 minutes	12 objects, with reddish orange lights, low in the cloudy sky on Christmas  Eve	1/07/2015
12/24/14 19:00	Greenfield	IN	Formation	2 minutes	The bright lights in a diagonal formation. Moved at medium speed and went  out of view at the horizon.	1/07/2015
12/24/14 18:49	Seattle	WA	Light	4 minutes	Many light (yellow) above my head moving slowly got disappeared in 4 min.	1/07/2015
12/24/14 18:45	Gilbert	AZ	Light	3 minutes	3 Amber/Orange Lights over South Gilbert Arizona	1/07/2015
12/24/14 18:32	Marysville	WA	Sphere	10 minutes	Three orbs U.F.O. 'S SIGHTED AND DOCUMENTED.christmas eve 2014	1/07/2015
12/24/14 17:30	Fairbanks	AK	Triangle	30 minutes	Three distant lights that appears to be aircraft on a collision course. Two  lights disappeared leaving one.	1/07/2015
12/24/14 17:30	Keighley (UK/England)		Light	4 minutes	Please reply if other reports nr same time area PLEASE.	1/07/2015
12/24/14 03:35	North Hollywood	CA	Circle	45 seconds	Bright Orange Light Moving Silently, Low In The Sky	1/07/2015
12/24/14 00:01	Roseville	CA	Fireball	45 seconds	7 fireballs three the first in triangle then four, dark orange, no sound	1/07/2015
12/23/14 22:30	Red Lodge	MT	Triangle	5 seconds	While walking out to my car I saw a silent triangle craft that consisted of  3 faint orange balls. One at tip and two at bottom forming	1/07/2015
12/23/14 22:15	West Sacramento	CA	Chevron	5-7 seconds	Lights in a chevron shape flying over West Sacramento, CA	1/07/2015
12/23/14 21:15	Korfu (Greece)		Sphere	45 minutes	1 big Light.	1/07/2015
12/23/14 21:00	Hammond	IN	Light	2-3 minutes	A group of lights moved across the sky.	1/07/2015
12/23/14 21:00	Hammond	IN	Light	2-3 minutes	A group of lights moved across the sky.	1/07/2015
12/23/14 18:00	Medford	OR	Light	2 minutes	Bright white light moving over Medford, OR moving east accelerated out of  site and disappeared as it approached a plane.	1/07/2015
12/23/14 18:00	Rancho Cordova	CA	Triangle	3-5 seconds	Green triangular craft blinks with white light, then leaves tail of  fluorescent green as it shoots into space.	1/07/2015
12/23/14 17:30	West Allis	WI	Circle	5-10 minutes	Orange/amber lights coming in pairs, equidistant from each other. Some made  triangle formations	1/09/2015
12/23/14 05:00	Belleville	NJ	Unknown	30+ minutes	Bright orange flashing sky.	1/07/2015
12/23/14 02:20	Wilmington	DC	Circle	20 minutes +	Sighting of a look alike 6 bright star like in circle with 1 bright  starlike in middle in Wilmington, De 12/22/2014.	1/07/2015
12/23/14 00:05	Kenmore	NY	Disk	10 minutes	Low, loud, flat bottomed craft flew over my home.	1/07/2015
12/22/14 23:00	Brewer	ME	Fireball	15 minutes	2 fire ball looking objects over brewer, me 04401 around 11:pm	1/07/2015
12/22/14 23:00	Deerfield	WI	Triangle	2 minutes	Saw a triangle with lights above Jc park with couple of my friends. My  phone died when j tried takin a pic of it and then it lit up.	1/07/2015
12/22/14 21:45	Fresno	CA	Fireball	4-5 minutes	I saw three orange redish glowing globes in the sky!	1/07/2015
12/22/14 21:30	Apache Junction	AZ	Light	20 minutes +	I witnessed a hovering line of super bright white lights over the  Superstition Mountains . I first noticed these lights because of the	1/07/2015
12/22/14 20:30	Rancho Cordova	CA	Triangle	15 seconds	Dim red glowing boomerang shaped craft looked as if it was hovering but  moving forward fast not in a straight line, As if flown like re	1/07/2015
12/22/14 20:27	Chicago	IL	Other	few seconds	Flash of short white light over Chicago similar to lightning followed by a  bigger bright blue flash.	1/07/2015
12/22/14 19:50	Houston	TX	Sphere	15 minutes	While walking subdivision park we saw 4 white light objects,1stayed  stationary, 3moved in a > formation,then turn L,then back flat -	1/07/2015
12/22/14 19:00	Redmond	OR	Formation	5 minutes	Red lights in big dipper formation over airport.	1/07/2015
12/22/14 19:00	Memphis	TN	Light	1-2 hours	Large green spherical light in the clouds.	1/07/2015
12/22/14 14:15	Burbank	CA	Sphere	3 minutes	Small silver sphere split into two yellow lights.	12/22/14
12/22/14 00:40	Glendale	AZ	Circle	50 seconds	Orange glowing light over Glendale	1/07/2015
12/21/14 23:45	San Gabriel	CA	Light	15-20 minutes	Strange Red lights over Irwindale, Ca.	1/07/2015
12/21/14 23:15	Everett	WA	Circle	0:00	Waxed and waned for forty five minutes, in circular, in varying speeds.	1/07/2015
12/21/14 22:30	Denver	CO	Sphere	12 minutes	UFO over DIA.	1/07/2015
12/21/14 21:30	Olympia	WA	Light	10-15 minutes	Bright reddish lights traveling west to east.	12/22/14
12/21/14 21:00	Tracy	CA	Circle	2 seconds	Very clear almost as if meant to be seen!	1/07/2015
12/21/14 20:16	Portales	NM	Fireball	5-10 seconds	Bright neon green light lights up horizon.	12/22/14
12/21/14 19:53	Oak Ridge	NJ	Disk	5 seconds	Taking pictures of my Christmas lights and an hat shaped object appeared  going east to west at a high rate of speed.	12/22/14
12/21/14 19:00	Edgewood	NM	Fireball	30 seconds	Orange/Red ball of light moving across night sky at low altitude.	12/22/14
12/21/14 18:50	Lake Worth	FL	Triangle	2 minutes	I was looking toward the east as I finished my cigarette and I saw a big  group of like 9 to 12 glowing orbits in the sky moving west. A	12/22/14
12/21/14 18:00	Lawrence (E of Indianaplis)	IN	Light	45 seconds	Large bright reddish orange light moves straight across sky below the  clouds without making a noise.	12/22/14
12/21/14 17:03	Berlin	CT	Fireball	10 minutes	Two fireball-looking objects flying side-by-side in a sourth-westerly  direction.	12/22/14
12/21/14 16:00	Visalia	CA	Formation	5-10 minutes	Multiple craft forming patterns and flying in unison.	12/22/14
12/21/14 03:00	Peoria	AZ	Other	25 minutes	Amber sphere breaks up into multiple fragments, 2 seperate repeated events.	12/22/14
12/21/14 00:20	Avon Lake	OH	Triangle	20 minutes	Triangular shape seen hovering and then moving away from neighborhoods and  roads.	12/22/14
